Ticker Symbol,Name,Stock Exchange,Type,Sub Type,Web Address,
ICMI,Imperial Credit Commercial Mortgage,NASDA,Mortgage,MtgBacked,,   
IHT,InnSuites Hospitality Trust,NYSE,Hybrid,Hotel,,   
IMH,Impac Mortgage Holdings Inc,AMEX,Mortgage,MtgBacked,www.impaccompanies.com,   
IND,American Industrial Properties,NYSE,Equity,Industrial,www.aipreit.com,   
IND,American Industrial Properties,NYSE,Equity,Industrial,www.aipreit.com,   
INV,American Residential Investment Trust,NYSE,Mortgage,Mortgage Backed,,   
IOT,Income Opportunity Realty Trust,AMEX,Equity,Diversified,,   
IRT,IRT Property Co,NYSE,Equity,Strip,,   
JAMS,Jameson Inns Inc,NASDA,Equity,Hotel,www.jamesoninns.com,   
JDN,JDN Realty Corporation,NYSE,Equity,Strip,www.irinfo.com/jdn,   
JPR,JP Realty Inc,NYSE,Equity,Regional Mall,www.jprealty.com,   
KE,Koger Equity Inc,AMEX,Equity,Office,www.koger.com,   
KIM,Kimco Realty Corporation,NYSE,Equity,Strip,www.kimcorealty.com,   
KPA,Innkeepers USA Trust,NYSE,Equity,Hotel,www.inkeepersusa.com,   
KPT,Konover Realty Trust,NYSE,Equity,Strip,www.konovertrust.com,   
KRC,Kilroy Realty Corporation,NYSE,Equity,Office,,   
KRT,Kranzco Realty Trust,NYSE,Equity,Strip,www.krt.com,   
LFT,Lexford Residential Trust,NYSE,Equity,Apartment,www.lexford.com,   
LHO,LaSalle Hotel Properties,NYSE,Equity,Hotel,,   
LMM,Laser Mortgage Management,NYSE,Mortgage,MtgBacked,,   
LRY,Liberty Property Trust,NYSE,Equity,Mixed,www.libertyproperty.com,   
LTC,LTC Properties Inc,NYSE,Hybrid,Healthcare,,   
LXP,Lexington Corporate Properties Inc,NYSE,Equity,Diversified,www.lxp.com,   
MAA,Mid America Apartment Communities Inc,NYSE,Equity,Apartment,www.midamerica-apartments.com,   
MAC,The MaceRich Co,NYSE,Equity,Regional Mall,www.macerich.com,   
MAL,Malan Realty Investors Inc,NYSE,Equity,Strip,,   
MDN,Meridian Industrial Trust,NYSE,Equity,Industrial,www.mit-reit.com,   
MGI,MGI Properties Inc,NYSE,Equity,Diversified,,   
MHC,Manufactured Home Communities Inc,NYSE,Equity,Mfd Hm,,   
MHX,MeriStar Hospitality Corporation,NYSE,Hybrid,Hotel,www.meristar.com,   
MLS,The Mills Corporation,NYSE,Equity,Regional Mall,www.millscorp.com,   
MNRTA,Monmouth Real Estate Investment Corporation,NASDA,Equity,Industrial,www.mreic.com,   
MPTBS,Meridian Point Realty Trust 83,NASDA,Equity,Industrial,,   
MRR,Mid Atlantic Realty Trust,NYSE,Equity,Strip,www.martreit.com,   
MRY,Merry Land & Investment Co Inc,NYSE,Equity,Apartment,www.merryland.com,   
MT,The Meditrust Companies,NYSE,Hybrid,Healthcare,www.reit.com,   
NDE,IndyMac Mortgage Holdings,NYSE,Mortgage,MtgBacked,www.indymac.com,   
NFI,Novastar Financial Inc,NYSE,Mortgage,MtgBacked,,   
NHI,National Health Investors Inc,NYSE,Hybrid,Healthcare,,   
NHP,Nationwide Health Properties Inc,NYSE,Equity,Healthcare,,   
NHR,National Health Realty Inc,AMEX,Hybrid,Healthcare,,   
NIRTS,National Income Realty Trust,NASDA,Equity,Apartment,,   
NLY,"Annaly Mortgage Management, Inc.",NYSE,Mortgage,Mortgage Backed,,   
NNN,Commercial Net Lease Realty Inc,NYSE,Equity,Triple Net,www.cnlreit.com,   
NRTI,Nooney Realty Trust Inc,NASDA,Equity,Office,,   
NXL,New Plan Excel Realty Trust,NYSE,Equity,Strip,,   
O,Realty Income Corporation,NYSE,Equity,Triple Net,www.realtyincome.com,   
OAC,Ocwen Asset Investment Corp,NYSE,Hybrid,MtgBacked,www.ocwen.com,   
OFC,Corporate Office Properties Trust,NYSE,Equity,Office,,   
OHI,Omega Healthcare Investors Inc,NYSE,Hybrid,Healthcare,,   
OLP,One Liberty Properties Inc,AMEX,Equity,Triple Net,www.1liberty.com,   
PAG,Pacific Gulf Properties,NYSE,Equity,Diversified,,   
PAH,Patriot American Hospitality Inc,NYSE,Equity,Hotel,,   
PCC,PMC Commercial Trust Inc,AMEX,Mortgage,Diversified,www.marketnet.com,   
PCT,Property Capital Trust,AMEX,Equity,Diversified,,   
PDL,Presidential Realty Corporation,AMEX,Hybrid,Apartment,,   
PEI,Pennsylvania Real Estate Investment Trust,NYSE,Equity,Diversified,,   
PGE,Prime Group Realty Trust,NYSE,Equity,Industrial,www.pgrt.com,   
PHR,Philips International Corporation,NYSE,Equity,Strip,,   
PKY,Parkway Properties Inc,NYSE,Equity,Office,www.parkwayco.com,   
PLD,ProLogis Trust,NYSE,Equity,Industrial,www.scit.com,   
PNP,"Pan Pacific Retail Properties, Inc.",NYSE,Equity,Strip,www.pprp.com,   
PP,Prentiss Properties Trust,NYSE,Equity,Office,www.pplinc.com,   
PPS,Post Properties Inc,NYSE,Equity,Apartment,,   
PREN,Price Enterprises Inc,NASDA,Equity,Strip,,   
PRT,Prime Retail Inc,NYSE,Equity,Outlet,www.primeretail.com,   
PSA,Public Storage Inc,NYSE,Equity,Storage,www.publicstorage.com,   
PSB,PS Business Parks Inc,AMEX,Equity,Storage,www.psbusinessparks.com,   
PW,Pittsburgh & West Virginia Railroad,AMEX,Equity,Railroad,,   
PZN,CCA Prison Realty Trust,NYSE,Equity,Prison,www.prisonreit.com,   
PZN,CCA Prison Realty Trust,NYSE,Equity,Prison,www.prisonreit.com,   
RA,Reckson Associates Realty Corporation,NYSE,Equity,Mixed,www.reckson.com,   
